"","X5_3_3_.2","X5_3_4_.2","X5_5_3_.2","X5_5_4_.2","X5_6_2_.2","X5_6_3_.2","X5_7_1_.2","X5_7_3_.2","X5_8_1_.2","X5_8_2_.2","X5_8_3_.2","X5_3_3_2","X5_3_4_2","X5_5_3_2","X5_5_4_2","X5_6_2_2","X5_6_3_2","X5_7_1_2","X5_7_3_2","X5_8_1_2","X5_8_2_2","X5_8_3_2","X5_3_3_6","X5_3_4_6","X5_5_3_6","X5_5_4_6","X5_6_2_6","X5_6_3_6","X5_7_1_6","X5_7_3_6","X5_8_1_6","X5_8_2_6","X5_8_3_6","X5_3_3_13","X5_3_4_13","X5_5_3_13","X5_5_4_13","X5_6_2_13","X5_6_3_13","X5_7_1_13","X5_7_3_13","X5_8_1_13","X5_8_2_13","X5_8_3_13"
"00cd2f68603124759047487807589f27",71,26,44,0,21,59,42,60,38,50,45,40,25,32,104,44,66,27,32,42,0,26,0,0,68,7,0,0,0,74,48,0,56,0,0,24,0,0,0,0,0,0,0,31
"03d1db1ccc574034f8242e94d57eca3b",9,28,23,15,19,0,0,75,0,28,0,0,20,0,6,12,0,34,0,59,0,48,0,6,29,140,81,0,14,12,23,0,3,0,0,7,0,22,0,22,16,22,0,12
"0570b4a067b34904d37cb5ddc848b221",13,16,0,0,18,21,9,10,8,0,26,0,0,0,20,0,0,0,19,0,0,4,60,36,0,47,19,68,16,0,8,71,0,0,0,0,0,0,94,0,0,0,0,0
"08ce27cee52afc14d82faaae7852a600",32,0,10,0,39,0,0,43,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,33,0,0,30,29,0,0,0,0,18,0,0,0,0,0,0
"08eba18fc9aa967e5e29f20ee5041a60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,1456,0,698,22,1028,499,0,9,68,0,500,117,0,831,117,501,63,55,0,631,0
"08eedcaf8f982611c4982038139f6271",25,0,20,0,201,90,15,0,0,0,0,0,36,0,74,156,0,0,106,0,0,43,0,12,0,56,51,148,21,111,87,68,45,0,0,0,0,29,78,14,0,0,0,20
"08faf2041b38f0c8f2faa68e7d5edd31",45,39,58,11,18,32,41,34,40,24,19,35,39,15,38,19,0,27,33,48,10,0,315,1181,57,521,69,526,185,106,59,484,39,0,0,38,0,41,1825,48,113,45,0,47
"09fe878f37fdb48cdc41797c656c05b2",0,8,8,7,5,12,0,6,19,0,11,0,0,0,42,16,16,16,0,18,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,0,8,0,0,0,0
"0ad13b6d1cd98ad7e8f6ee9909d33114",348,776,356,191,1212,256,844,487,1252,24,935,2354,2431,992,157,1194,311,564,1118,571,698,107,80,136,479,100,1718,139,221,162,556,938,1252,0,0,266,0,190,598,451,204,125,0,146
"0cd7b1cc6232d6896e37e6cff5489de7",0,55,0,0,0,0,0,303,0,183,0,0,65,128,307,110,0,0,0,0,0,92,0,0,159,123,93,0,0,0,0,0,140,0,0,267,0,0,0,0,0,0,0,0
"0df6c802966e8670279671824da4f10a",0,0,54,0,0,45,0,0,0,0,0,0,0,756,0,0,0,0,444,34,0,169,86,0,0,23,197,397,64,99,181,0,1182,433,1516,104,1200,224,2047,536,1119,345,174,825
"0f276b28ea3ba352f6fd667c1e298c38",0,17,0,0,8,48,52,0,0,36,17,0,0,0,0,0,19,0,64,0,0,35,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0
"0f2a5acc53e55f2c9f0c7409421dc5a0",53,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,14,0,0,936,487,21,143,25,86,45,0,0,367,35,0,0,0,0,155,167,40,0,36,51,0
"1328ddadac3f2d08eb25e79a18f7e574",688,805,39,0,0,0,273,1083,1276,0,1857,336,960,0,0,0,0,1069,426,2045,2144,32,0,0,0,0,0,0,0,508,190,0,214,0,0,0,0,0,0,0,0,0,0,0
"14e78619269b8c45554ab4a8ddf2f22c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,166,0,0,0,118,0,0,0,135,0,0,0,0,0,31,79,0,0,0,0,0
"1841ceeb252a3e471065c84c01175567",0,13,0,10,0,24,22,20,13,35,17,0,29,30,56,42,15,14,39,47,0,28,38,154,40,72,65,219,79,12,0,105,30,0,0,23,0,0,115,0,0,76,0,22
"185fd5fa18cb1cc8b0fa2bacf60af299",13,0,0,45,0,85,30,105,41,54,0,0,0,13,41,0,0,25,0,50,0,22,0,0,16,14,0,0,9,0,12,0,10,0,0,0,0,0,18,13,0,0,0,0
"1c281deaf71c6d702d1ddadfa953eac6",28,0,30,12,39,16,26,19,0,14,11,0,10,28,60,35,27,19,13,43,8,9,36,56,65,43,53,41,0,29,0,65,67,0,0,26,0,44,44,25,0,43,0,0
"1fdb09b154f347c35de3aad68774cb79",85,75,131,206,232,570,124,120,137,416,104,0,125,124,428,88,246,84,107,407,184,111,397,405,468,380,137,405,210,294,147,513,124,0,0,249,0,46,59,48,21,240,0,20
"22907d450b79c927e4ffe34a2d09d2aa",0,21,65,0,38,0,37,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,40,0,102,0,0,0,0,0,36,0,0,0,0,0,17,0,0,53,0,0
"2678ed3808ef43759fe3dcf46f1b1a05",20,18,28,74,21,18,43,19,54,60,34,8,0,13,41,28,14,31,0,64,0,17,0,6,44,52,15,60,28,34,21,0,53,0,0,20,0,13,42,0,0,22,0,0
"26d95f66b97240febac5d7976fe5ebaf",0,0,0,0,0,48,0,17,0,28,0,0,0,0,0,0,0,0,0,19,0,0,0,222,0,118,0,250,35,0,55,132,0,0,0,0,0,162,658,36,0,0,0,0
"2747bd94a19fbfa82f1e90e326d2f100",4,0,15,28,118,48,330,110,126,5,127,0,0,63,22,63,44,76,190,60,50,29,0,0,123,0,174,0,44,18,63,15,1365,0,0,7,0,0,38,91,41,4,0,14
"2a89717b521dc276ae1bd08090909dc4",0,12,7,23,0,0,11,0,16,0,15,0,10,6,18,0,32,0,0,10,0,0,0,18,0,0,0,17,24,15,63,0,0,0,0,0,0,22,33,11,0,0,0,0
"2cf0267a31dc6f1b8ee65c913b8f6e4d",23,50,0,0,0,0,61,18,9,19,24,67,222,29,57,17,0,13,0,38,42,22,0,0,18,0,0,0,0,0,0,0,43,0,0,14,0,0,0,0,0,0,0,0
"2d01d21dc12ee96d173b6ab4e83f9a3b",8,19,13,13,0,68,0,16,10,0,0,0,16,13,8,0,18,7,34,13,0,0,31,24,0,9,0,14,12,42,61,0,0,0,0,0,0,20,27,15,6,6,0,0
"325ce268c8bbe026198a5ca3dbaad5b9",0,10,0,5,0,118,6,0,0,7,0,0,10,0,6,0,15,5,8,12,0,0,0,5,0,4,0,35,3,56,75,0,0,0,0,0,0,0,12,8,0,0,0,0
"34ed5dee580cb7e4333f93fa7bbb2354",83,9,0,0,0,0,0,0,3,0,0,89,110,0,0,12,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,79,116,0,0,0,0,0,0,0,1748,0
"3562d3a0374b9f2ed190c1a7aa7dedb7",47,13,45,23,31,15,56,69,23,52,18,0,10,26,25,29,12,12,0,10,19,13,6,106,76,109,43,94,37,63,19,0,52,0,0,12,0,0,0,0,9,20,0,15
"35f3ce6a0ee2829e6ccb193be3c4338b",258,320,228,773,566,265,386,453,879,424,331,33,129,217,225,1049,251,779,42,122,79,435,0,0,278,6,33,0,11,20,6,10,423,0,0,650,0,16,10,23,11,365,0,94
"379df1f05df47184252f8479e7c2206b",0,0,0,0,0,0,54,268,304,0,453,0,0,0,0,0,0,316,109,567,663,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37a7e187d35366eb6167cbe90e558af1",0,0,336,770,725,0,500,1214,0,317,0,0,0,349,602,901,0,354,0,0,0,686,13,0,917,453,384,0,193,0,0,137,1160,0,0,244,0,0,140,214,138,0,0,42
"3abae39e94cf51920aec2b9fb42b53a9",12,0,0,11,9,7,19,10,26,29,0,0,0,8,21,21,9,0,14,32,0,11,0,0,14,15,6,9,4,26,10,0,23,0,0,9,0,0,0,0,0,9,0,0
"3c01540f689ab74dc5d2346cebc1f09c",0,0,100,110,0,0,27,0,0,0,0,0,0,18,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0
"3d2cd874a4eea35af603ca0c0c25c89f",66,104,26,139,145,274,160,135,133,10,63,11,0,98,64,157,489,180,89,575,29,15,10,0,0,38,32,158,17,138,222,29,61,0,0,11,0,30,90,0,27,88,0,24
"3e064c3f883fdd051884a58537182eef",0,0,0,0,67,21,34,31,0,42,40,0,0,0,78,0,0,17,0,0,0,0,0,0,0,0,60,52,16,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
"3f574a1c6ddd83e13a9f0c0d99628511",15,0,0,0,20,21,0,0,0,0,0,0,0,0,0,5,14,0,12,11,0,7,34,27,0,27,13,17,29,17,15,5,8,0,0,0,0,6,23,0,9,9,0,0
"41968913d9ca2d9dfd73c99f7947bb01",14,8,7,0,12,0,40,25,17,75,0,0,9,8,112,21,0,17,8,24,11,17,0,0,41,56,0,0,0,0,0,0,50,0,0,28,0,0,0,0,0,0,0,0
"45b76e49b6500d8d245c2f27f6fbb143",0,0,0,0,0,0,9,0,64,0,31,143,0,0,0,0,0,0,0,0,0,0,209,104,53,334,1591,1758,1688,8,60,843,158,0,0,0,0,64,200,326,126,37,0,64
"4cbfff144d4e7a4e0f4619ed505be070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,1986,8234,8,112,8,55,630,6,5,914,0,4560,6154,0,2978,0,55,20,20,0,2795,40
"4e0a65b0a2fab7bf0f307d360b679d87",111,68,86,102,0,327,0,94,0,0,133,0,0,0,54,126,42,64,0,85,0,92,0,0,242,353,0,70,0,88,39,202,64,0,0,162,0,78,72,0,75,100,17,0
"4e1bda045e6ba843353281138c649093",0,0,0,0,0,32,0,5,0,0,0,8,0,0,10,0,0,0,0,0,28,0,0,0,16,0,0,8,0,0,16,0,0,0,0,0,0,26,9,11,0,0,11,0
"50c77a7d7927650d7b1a093e9d2c62de",47,31,21,41,14,295,42,155,0,110,11,41,71,106,132,38,197,126,224,148,68,56,0,18,255,21,9,86,34,73,179,75,64,0,0,46,0,0,19,0,0,117,0,0
"51111e66d97d8fd3f0bdf584d69c7835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,179,0,0,0,0,0,161,0,0,0,0,0,164,187,197,0,0,0,0
"538add871396bc31fee52b4c6e73542a",154,91,118,135,90,537,117,126,136,94,218,51,83,114,70,219,0,77,0,150,75,138,44,41,433,625,63,102,73,69,0,301,107,0,0,226,0,89,110,94,0,126,0,39
"54dcb911e3ab04e9d5b30c3912100b41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,35,0,0,0,0,0,0,1046,358,0,0,0,0,0,0,0,0,0,20,190,0,0
"5648dccee530d68ceb3e4d7d22cf8756",121,36,11,0,67,27,23,25,11,7,27,0,0,16,5,55,30,21,9,10,0,7,0,0,10,29,21,43,0,5,7,0,23,0,0,14,25,13,16,7,0,12,0,7
"57e11c3559fa2ef79a2702684229e4ba",0,17,0,18,0,0,0,52,0,30,28,0,7,0,26,18,0,0,0,107,16,16,0,27,92,53,37,36,109,0,0,107,30,0,0,27,0,11,74,25,0,11,0,25
"5810a546133ce2a9e01ba21225a87263",23,67,71,86,0,0,0,38,0,24,0,7,15,59,47,0,0,0,21,0,0,11,0,0,117,0,0,0,0,0,0,0,0,0,0,140,0,0,17,0,0,0,0,26
"5b9305abe9131ab077f971551c108db7",11,10,6,0,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,4,0,14,0,0,0,0,0,12,0,0,5,0,20,25,6,12,9,0,0
"5eaeab6fa2a8efe96eac7a0712c65080",7,0,12,0,50,0,11,0,0,0,11,0,20,8,9,78,0,0,9,0,28,6,0,35,41,34,342,21,0,20,13,34,54,0,0,0,0,5,50,9,0,0,0,0
"5f1f6453ad88dc836876671d27f97f58",20,37,65,0,41,0,47,42,114,69,7,0,0,49,90,24,0,33,88,73,31,0,0,0,56,0,0,0,0,0,0,0,41,0,0,21,0,0,0,0,0,0,0,0
"60a2e0a4d6760de56ad66a42a4093dc5",0,0,0,22,41,37,0,46,18,0,42,0,0,42,25,38,25,39,0,20,27,0,0,0,19,15,37,0,0,0,27,0,24,0,0,0,0,0,0,0,0,0,0,0
"6116fd7dc95407952dfa6a8cad835556",0,0,0,0,0,0,0,5,66,0,144,14,0,0,0,0,0,0,0,5,0,0,21,21,0,8,56,10,45,0,13,112,40,0,0,0,0,0,19,49,18,0,0,0
"61db0bd527e07336202fd0ff4578c042",0,0,21,21,26,17,0,0,10,0,0,0,0,0,13,9,17,0,0,19,0,0,0,0,26,22,18,23,0,18,0,53,15,0,0,9,0,0,0,0,0,0,0,0
"62dc76a09326c359be5946507e82e9fa",0,0,9,0,0,0,16,0,25,0,12,0,0,9,0,6,0,7,0,0,0,3,0,6,0,14,30,0,6,0,0,0,81,0,0,0,0,0,0,25,6,0,0,0
"6337b308d49ea78bc68f9100ca6c62b4",67,334,137,302,62,123,31,12,51,17,43,0,19,29,107,43,12,55,0,99,15,0,0,0,14,0,0,0,0,0,32,0,16,0,0,0,0,0,0,0,0,17,0,0
"6a8118b17d1d40cf877db24449ceb616",25,17,0,13,18,10,16,9,0,6,0,13,39,0,0,60,0,0,0,0,0,0,123,0,0,0,17,43,0,24,18,51,27,0,0,0,0,17,33,11,0,16,0,0
"6c921e3ae0af506f54295d074ca071bc",194,127,125,135,0,537,195,193,0,277,28,57,77,121,236,0,370,0,260,622,0,136,0,0,209,0,0,149,0,1034,258,0,407,0,0,349,0,0,0,0,0,447,0,0
"6d4ab2107d92228c6751838e7dbbe697",18,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,7,15,0,0,0,0,11,0,13,30,0,0,10,0,0,0,0,0,0,0,0,8,0,29,0,0
